sp;treeid;setTleaf;anet.21p;anet.0p;Rd;corranet;anet.delta;pr.real;gsw.21p;gsw.0p;gsw.delta;gsw.percent;E.21p;E.0p;E.delta;E.percent;ETR.21p;ETR.0p;ETR.delta;ETR.percent;NPQ.21p;NPQ.0p;NPQ.delta;NPQ.percent;Jc;Jo;Jt;Jc/Jt;Jo/Jt;Jc/Jo
Betula pendula;3a;25;15.1996;16.1193;0.9581;14.2415;1.8778;0.1319;0.2309;0.2252;-0.0057;-0.0249;0.0029;0.0028;-0.0001;-0.0241;84.0846;71.8389;-12.2458;-0.1456;-0.9993;-0.9991;0.0002;-0.0002;92.50676667;63.41673333;155.9235;0.593283031;0.406716969;
Betula pendula;3b;35;12.0914;17.0837;0.7855;11.3059;5.7778;0.511;0.1993;0.1532;-0.0461;-0.2312;0.0055;0.0043;-0.0013;-0.2301;109.9866;58.0831;-51.9034;-0.4719;-0.9991;-0.9992;0;0;88.26696667;79.80273333;168.0697;0.525180724;0.474819276;
Betula pendula;3c;30;8.0745;17.1628;0.5624;7.5121;9.6507;1.2847;0.1174;0.1534;0.036;0.307;0.0021;0.0026;0.0006;0.2773;42.5428;60.7206;18.1778;0.4273;-0.9993;-0.9991;0.0002;-0.0002;55.95313333;47.31026667;103.2634;0.541848645;0.458151355;
Betula pendula;3c;35;11.9749;18.7644;0.779;11.1958;7.5685;0.676;0.1828;0.1854;0.0026;0.0143;0.0051;0.0053;0.0002;0.0444;79.9001;75.9405;-3.9596;-0.0496;-0.9992;-0.9991;0.0001;-0.0001;83.87963333;71.96086667;155.8405;0.538240273;0.461759727;
Betula pendula;4;25;21.535;21.4209;1.31;20.225;1.1959;0.0591;0.2423;0.1982;-0.0441;-0.182;0.0031;0.0026;-0.0005;-0.1725;191.1167;97.3631;-93.7536;-0.4906;-0.9993;-0.999;0.0003;-0.0003;153.5866333;134.8932667;288.4799;0.532399773;0.467600227;
Betula pendula;4;30;16.2724;24.7044;1.0177;15.2547;9.4497;0.6195;0.2086;0.6611;0.4525;2.169;0.0036;0.0087;0.0051;1.3985;153.6647;99.1091;-54.5556;-0.355;-0.9991;-0.999;0.0001;-0.0001;127.651;125.1228;252.7738;0.505000914;0.494999086;
Betula pendula;4;35;17.1304;23.7314;1.0654;16.065;7.6663;0.4772;0.1517;0.1377;-0.0139;-0.0918;0.0038;0.0035;-0.0003;-0.0671;202.8537;108.3674;-94.4863;-0.4658;-0.9992;-0.999;0.0002;-0.0002;149.4214;161.7996;311.221;0.480113488;0.519886512;
Betula pendula;4c;30;11.8399;15.9736;0.7715;11.0684;4.9052;0.4432;0.1436;0.13;-0.0136;-0.0948;0.0025;0.0023;-0.0002;-0.0831;97.2306;46.4328;-50.7977;-0.5224;-0.9993;-0.9993;0;0;79.46086667;64.20253333;143.6634;0.553104456;0.446895544;
Betula pendula;4c;35;15.47;24.913;0.9732;14.4968;10.4162;0.7185;0.2021;0.2046;0.0025;0.0123;0.0056;0.0054;-0.0002;-0.0317;131.4384;99.5512;-31.8872;-0.2426;-0.9992;-0.9991;0.0001;-0.0001;118.2498667;112.7397333;230.9896;0.511927233;0.488072767;
Betula pendula;5;25;18.197;15.6175;1.1246;17.0724;-1.4548;-0.0852;0.2243;0.2095;-0.0148;-0.0661;0.0028;0.0027;-0.0002;-0.0616;130.8989;69.9223;-60.9766;-0.4658;-0.9993;-0.9991;0.0003;-0.0003;115.4657;85.3554;200.8211;0.574967969;0.425032031;
Betula pendula;6;25;12.5565;18.0813;0.8113;11.7451;6.3361;0.5395;0.1056;0.1505;0.0449;0.425;0.0014;0.002;0.0006;0.4025;104.691;76.9777;-27.7133;-0.2647;-0.9991;-0.999;0.0001;-0.0001;94.03996667;87.62873333;181.6687;0.517645399;0.482354601;
Betula pendula;6;30;13.4976;18.1418;0.8636;12.634;5.5077;0.4359;0.1157;0.1372;0.0214;0.1853;0.002;0.0024;0.0004;0.1913;145.9209;78.865;-67.0559;-0.4595;-0.9991;-0.999;0.0001;-0.0001;110.9222333;113.8636667;224.7859;0.493457256;0.506542744;
Betula pendula;7;25;17.2611;19.0688;1.0726;16.1884;2.8803;0.1779;0.7037;0.1916;-0.5121;-0.7277;0.009;0.0025;-0.0065;-0.7191;174.4699;88.3544;-86.1154;-0.4936;-0.9991;-0.9989;0.0002;-0.0002;133.6374333;129.1868667;262.8243;0.50846681;0.49153319;
Betula pendula;7;30;13.9978;21.8313;0.8914;13.1064;8.7249;0.6657;0.208;0.2049;-0.003;-0.0146;0.004;0.0039;-0.0001;-0.0263;101.0715;89.5338;-11.5377;-0.1142;-0.9992;-0.9992;0.0001;-0.0001;100.8625667;89.74273333;190.6053;0.52916979;0.47083021;
Betula pendula;7;35;16.4485;23.7668;1.0275;15.421;8.3458;0.5412;0.207;0.1945;-0.0125;-0.0603;0.0056;0.0053;-0.0002;-0.0404;152.2777;98.7041;-53.5737;-0.3518;-0.9991;-0.9991;0;0;127.5232667;123.4585333;250.9818;0.508097666;0.491902334;
Corylus avellana;1;25;11.709;14.5231;0.7643;10.9447;3.5784;0.327;0.2544;0.2312;-0.0232;-0.0911;0.0032;0.0029;-0.0003;-0.0838;60.8915;46.692;-14.1996;-0.2332;-0.9993;-0.999;0.0003;-0.0003;67.08516667;40.49833333;107.5835;0.623563713;0.376436287;
Corylus avellana;1;30;7.7626;12.0381;0.5451;7.2175;4.8206;0.6679;0.1154;0.1084;-0.007;-0.0609;0.002;0.0019;-0.0001;-0.0641;47.0306;42.9505;-4.08;-0.0868;-0.9991;-0.999;0;0;50.69396667;39.28713333;89.9811;0.563384607;0.436615393;
Corylus avellana;1;35;4.8088;8.365;0.381;4.4278;3.9372;0.8892;0.067;0.0717;0.0047;0.0703;0.0021;0.0021;0.0001;0.028;49.2639;28.2472;-21.0166;-0.4266;-0.9989;-0.9989;-0.0001;0.0001;38.6605;38.8506;77.5111;0.498773724;0.501226276;
