sp,treeid,tleaf,anet.21p,anet.0p,anet.delta,pr.CO2,pr.real,pr.percent,gsw.21p,gsw.0p,gsw.delta,gsw.percent,E.21p,E.0p,E.delta,E.percent,ETR.21p,ETR.0p,ETR.delta,ETR.percent,JT,JO1,JC1,JO2,JC2,Rp.ETR,JO1.percent,JC1.percent,Rp.ETR.percent,JC2.percent,NPQ.21p,NPQ.0p,NPQ.delta,NPQ.percent,sla
Fagus sylvatica,5,35,13.12714446,22.37402259,9.24687813,6.436150819,15.68302895,1.194702244,0.223945785,0.238559764,0.014613979,0.065256772,0.006574664,0.006873792,0.000299128,0.045497078,109.3661506,83.10896056,-26.25719004,-0.240085163,192.4751112,229.9504473,-37.47533614,93.31102221,11.66387778,99.16408895,1.194702244,-0.194702244,0.060599408,0.515204737,-0.998975585,-0.998930647,4.49E-05,-4.50E-05,174
Fagus sylvatica,6,25,9.036363498,11.87591981,2.839556312,1.727543467,4.567099779,0.505413464,0.135956068,0.169413735,0.033457667,0.246091752,0.001813141,0.002238076,0.000424935,0.234364013,297.5791406,46.1725795,-251.4065611,-0.844839328,343.7517201,173.7367477,170.0149724,205.0708441,25.63385551,138.680876,0.505413464,0.494586536,0.074570843,0.403433257,-0.999476007,-0.999130712,0.000345295,-0.000345476,174
Fagus sylvatica,6,35,13.31004005,20.28290316,6.97286311,4.853356775,11.82621988,0.88851873,0.220165347,0.208046729,-0.012118618,-0.055043258,0.006577283,0.006127359,-0.000449924,-0.068405754,64.33808473,71.54524756,7.20716283,0.112020164,135.8833323,120.7348859,15.14844642,55.09544806,6.886931008,80.78788423,0.88851873,0.11148127,0.050682677,0.594538586,-0.999436487,-0.999164443,0.000272044,-0.000272197,174
Fagus sylvatica,7,25,10.15444349,11.05723168,0.90278819,0.549242793,1.452030983,0.142994639,0.129371605,0.161913735,0.03254213,0.251539973,0.001673031,0.002107384,0.000434353,0.259620413,44.92058567,35.05664576,-9.86393991,-0.219586182,79.97723143,11.43631535,68.54091608,26.23963831,3.279954789,53.73759312,0.142994639,0.857005361,0.041011107,0.671911145,-0.999506734,-0.999041809,0.000464925,-0.000465154,174
Fagus sylvatica,7,30,10.83156006,14.81690751,3.98534745,2.59928346,6.58463091,0.607911591,0.192479836,0.180572748,-0.011907088,-0.061861482,0.00408488,0.003885554,-0.000199326,-0.048796048,42.71963749,44.56182436,1.84218687,0.043122718,87.28146185,53.05941235,34.2220495,29.30348107,3.662935134,57.97798078,0.607911591,0.392088409,0.041966932,0.664264548,-0.999420301,-0.999105958,0.000314343,-0.000314525,174
Fagus sylvatica,7,35,8.669547615,14.54900179,5.879454175,4.092305887,9.971760062,1.150205351,0.203396366,0.18054417,-0.022852196,-0.11235302,0.005868231,0.005075751,-0.00079248,-0.135045809,62.18766309,44.69502378,-17.49263931,-0.281287935,106.8826869,122.9370384,-16.05435155,48.13633094,6.017041368,58.74635593,1.150205351,-0.150205351,0.056295753,0.549633974,-0.999059922,-0.999105571,-4.56E-05,4.57E-05,174
Fagus sylvatica,8,25,7.036040127,7.918180624,0.882140497,0.536681046,1.418821543,0.201650576,0.135935902,0.130275757,-0.005660145,-0.041638338,0.0017425,0.00171383,-2.87E-05,-0.016453372,9.438951246,29.24880057,19.80984932,2.09873415,38.68775182,7.801407432,30.88634438,7.029060872,0.878632609,31.65869094,0.201650576,0.798349424,0.022710873,0.818313018,-0.999608215,-0.999186357,0.000421858,-0.000422023,174
Fagus sylvatica,9,25,5.403083029,9.072700894,3.669617865,2.232540465,5.90215833,1.092368616,0.061724308,0.097991616,0.036267308,0.587569293,0.000824171,0.00127741,0.000453239,0.549933206,17.86607444,30.99895905,13.13288461,0.735073877,48.86503349,53.378629,-4.513595508,18.16846758,2.271058448,30.69656591,1.092368616,-0.092368616,0.046476146,0.628190829,-0.999517512,-0.999237838,0.000279674,-0.000279809,174
Betula pendula,1,25,19.69518076,25.90993649,6.21475573,3.780964165,9.995719895,0.507521105,0.250855986,0.195846505,-0.055009481,-0.219287097,0.003118574,0.002502789,-0.000615785,-0.197457235,137.745437,110.5823041,-27.1631329,-0.19719806,248.3277411,126.0315695,122.2961716,113.0313454,14.12891817,135.2963957,0.507521105,0.492478895,0.056896254,0.54482997,-0.999397316,-0.999120485,0.000276831,-0.000276998,179
Betula pendula,1,30,18.06021899,25.74222957,7.68201058,5.01028412,12.6922947,0.702776345,0.207346783,0.235587883,0.0282411,0.136202258,0.00345084,0.003907414,0.000456574,0.132308076,164.6401098,105.4954131,-59.1446967,-0.359236256,270.1355229,189.8448556,80.29066733,131.9297646,16.49122058,138.2057583,0.702776345,0.297223655,0.061047953,0.51161638,-0.999051378,-0.99898278,6.86E-05,-6.87E-05,179
Betula pendula,1,35,20.51677759,27.47157431,6.95479672,4.840781935,11.79557866,0.574923552,0.197091658,0.170022284,-0.027069374,-0.137344088,0.004689835,0.004324042,-0.000365793,-0.077996987,207.9359841,130.3735091,-77.562475,-0.373011316,338.3094932,194.5020956,143.8073976,170.8282552,21.3535319,167.481238,0.574923552,0.425076448,0.063118335,0.495053321,-0.999111999,-0.998906635,0.000205364,-0.000205547,179
Betula pendula,1b,30,20.07348074,26.49815927,6.42467853,4.190239584,10.61491811,0.528803064,0.205665454,0.176935026,-0.028730428,-0.139694963,0.003880935,0.003335481,-0.000545454,-0.140547059,202.3318583,115.3361058,-86.9957525,-0.429965667,317.6679641,167.9837926,149.6841715,158.2493608,19.7811701,159.4186033,0.528803064,0.471196936,0.062269956,0.501840353,-0.99913293,-0.998950494,0.000182436,-0.000182594,179
Betula pendula,1b,35,11.1931296,16.63944761,5.44631801,3.790827956,9.237145966,0.825251408,0.089310752,0.039100577,-0.050210175,-0.562196308,0.002600217,0.001097261,-0.001502956,-0.578011758,137.9838367,47.06052944,-90.92330726,-0.658941724,185.0443661,152.7081238,32.33624238,93.51456516,11.68932065,91.52980098,0.825251408,0.174748592,0.063170368,0.494637059,-0.999182808,-0.999257129,-7.43E-05,7.44E-05,179
Betula pendula,2,25,17.20816325,23.92167556,6.71351231,4.084400187,10.7979125,0.6274878,0.207559283,0.220740883,0.0131816,0.063507639,0.002625467,0.002790877,0.00016541,0.063002125,123.5885614,103.4655928,-20.1229686,-0.162822258,227.0541542,142.4737117,84.58044254,105.4810008,13.1851251,121.5731534,0.6274878,0.3725122,0.058070398,0.535436816,-0.99921451,-0.999007673,0.000206837,-0.000207,179
Betula pendula,2,35,11.58341662,19.83327929,8.24986267,5.742193164,13.99205583,1.207938581,0.14822699,0.147968511,-0.000258479,-0.001743805,0.004216056,0.004206187,-9.87E-06,-0.002340813,92.28171914,85.00492573,-7.27679341,-0.078854116,177.2866449,214.1513782,-36.86473334,87.30198559,10.9127482,89.98465928,1.207938581,-0.207938581,0.06155426,0.507565922,-0.999168821,-0.999089946,7.89E-05,-7.89E-05,179
Betula pendula,3,30,12.29752468,17.39314761,5.09562293,3.323416231,8.419039161,0.684612504,0.14117519,0.157133406,0.015958216,0.113038389,0.002426963,0.00268173,0.000254767,0.104973582,100.2440213,69.7060084,-30.5380129,-0.30463675,169.9500297,116.3499153,53.60011435,80.50662065,10.06332758,89.44340905,0.684612504,0.315387496,0.05921345,0.5262924,-0.999116732,-0.999019555,9.72E-05,-9.73E-05,179
Betula pendula,3a,25,15.19964411,16.11925782,0.91961371,0.559479187,1.479092897,0.097311022,0.230912795,0.225166914,-0.005745881,-0.024883337,0.002890727,0.002820919,-6.98E-05,-0.024148942,84.08462626,71.83886756,-12.2457587,-0.14563612,155.9234938,15.17307448,140.7504193,63.41661159,7.927076448,92.50688223,0.097311022,0.902688978,0.050839526,0.593283796,-0.999305966,-0.999060324,0.000245642,-0.000245813,179
Betula pendula,3b,35,12.09141349,17.0836679,4.99225441,3.474783798,8.467038208,0.700252143,0.199276025,0.153200461,-0.046075564,-0.231214789,0.005532129,0.00425919,-0.001272939,-0.230099298,109.986559,58.08311809,-51.90344091,-0.471907126,168.0696771,117.6911516,50.37852553,79.80268209,9.975335261,88.266995,0.700252143,0.299747857,0.05935238,0.525180964,-0.999119074,-0.999163226,-4.42E-05,4.42E-05,179
Betula pendula,3c,30,8.074479713,17.16281567,9.088335957,5.927503595,15.01583955,1.859666515,0.11740323,0.153446509,0.036043279,0.307004151,0.002066109,0.002639019,0.00057291,0.27728934,42.54282121,60.72059819,18.17777698,0.427281888,103.2634194,192.0355233,-88.77210392,47.3103337,5.913791712,55.9530857,1.859666515,-0.859666515,0.05726899,0.541848082,-0.999296887,-0.999106119,0.000190768,-0.000190902,179
Betula pendula,3c,35,11.97488078,18.76436592,6.78948514,4.725719289,11.51520443,0.961613284,0.182834679,0.18544481,0.002610131,0.014275908,0.005121222,0.005348542,0.00022732,0.044387843,79.9000513,75.94046466,-3.95958664,-0.049556747,155.840516,149.8583103,5.982205666,71.96066189,8.995082737,83.87985407,0.961613284,0.038386716,0.057719796,0.538241635,-0.999200681,-0.999078201,0.00012248,-0.000122578,179
Betula pendula,4,25,21.53496978,21.4209041,-0.11406568,-0.069395849,-0.183461529,-0.008519238,0.242328464,0.198235474,-0.04409299,-0.181955472,0.003125192,0.002586148,-0.000539044,-0.172483483,191.1167359,97.36311652,-93.75361938,-0.490556826,288.4798524,-2.457628465,290.9374809,134.8933155,16.86166444,153.5865369,-0.008519238,1.008519238,0.058450059,0.532399527,-0.999273609,-0.998978434,0.000295175,-0.00029539,179
Betula pendula,4,30,16.27244868,24.7043991,8.43195042,5.499402383,13.9313528,0.85613131,0.208617872,0.661106997,0.452489125,2.168985431,0.003625881,0.008696744,0.005070863,1.39851887,153.6647036,99.10908949,-54.55561411,-0.355030224,252.7737931,216.4075586,36.36623451,125.1226656,15.6403332,127.6511275,0.85613131,0.14386869,0.061874821,0.505001432,-0.999085547,-0.99902161,6.39E-05,-6.40E-05,179
Betula pendula,4,35,17.13041824,23.73136879,6.60095055,4.594492616,11.19544317,0.65354173,0.151651179,0.137735183,-0.013915996,-0.09176319,0.003786372,0.003532429,-0.000253943,-0.067067631,202.8536743,108.3673698,-94.4863045,-0.465785522,311.2210441,203.3959395,107.8251046,161.7995808,20.2249476,149.4214633,0.65354173,0.34645827,0.064985797,0.480113624,-0.999193466,-0.998997297,0.000196169,-0.000196327,179
Betula pendula,4c,30,11.83990266,15.97358035,4.13367769,2.696025926,6.829703616,0.576837818,0.143607712,0.129988975,-0.013618737,-0.094832908,0.002478221,0.002272383,-0.000205838,-0.083058775,97.2305542,46.43281263,-50.79774157,-0.522446282,143.6633668,82.87046305,60.79290378,64.20250413,8.025313016,79.4608627,0.576837818,0.423162182,0.055861931,0.553104556,-0.999292176,-0.999337245,-4.51E-05,4.51E-05,179
Betula pendula,4c,35,15.46996421,24.91297209,9.44300788,6.57266399,16.01567187,1.035275302,0.202074767,0.204564725,0.002489958,0.012321964,0.005623142,0.005445138,-0.000178004,-0.031655612,131.4383922,99.55117459,-31.88721761,-0.242602006,230.9895668,239.1377935,-8.148226732,112.7398066,14.09247583,118.2497602,1.035275302,-0.035275302,0.061009144,0.511926845,-0.999174285,-0.999076417,9.79E-05,-9.79E-05,179
Betula pendula,6,25,12.55647768,18.0812622,5.52478452,3.36119603,8.88598055,0.70768099,0.105641764,0.150544563,0.044902799,0.425047796,0.001422685,0.001995294,0.000572609,0.402484738,104.6909798,76.97771412,-27.71326568,-0.264714933,181.6686939,128.5634811,53.10521283,87.62852213,10.95356527,94.04017179,0.70768099,0.29231901,0.060294182,0.517646545,-0.999104026,-0.99902072,8.33E-05,-8.34E-05,179
Betula pendula,6,30,13.49763365,18.14177174,4.64413809,3.028953304,7.673091394,0.568476786,0.115709896,0.137152229,0.021442333,0.185311142,0.002013783,0.00239893,0.000385147,0.191255463,145.9208689,78.8650131,-67.0558558,-0.459535749,224.785882,127.7855557,97.0003263,113.8635649,14.23294562,110.9223171,0.568476786,0.431523214,0.063317792,0.493457668,-0.999149544,-0.999022973,0.000126571,-0.000126679,179
Betula pendula,7,25,17.26105365,19.06875977,1.80770612,1.099781288,2.907487408,0.168442058,0.703727388,0.191646841,-0.512080547,-0.727668918,0.008986075,0.002524611,-0.006461464,-0.719052979,174.469869,88.35443441,-86.11543459,-0.49358342,262.8243034,44.27066668,218.5536367,129.1867259,16.14834073,133.6375775,0.168442058,0.831557942,0.061441581,0.508467352,-0.999097978,-0.998933351,0.000164627,-0.000164776,179
Betula pendula,7,30,13.99778438,21.8312932,7.83350882,5.109092787,12.94260161,0.924617872,0.207983878,0.204945245,-0.003038633,-0.014609945,0.003994977,0.003889986,-0.000104991,-0.026280752,101.0715093,89.53379663,-11.53771267,-0.114153956,190.6053059,176.2370724,14.36823355,89.74277894,11.21784737,100.862527,0.924617872,0.075382128,0.058853804,0.529169566,-0.999203964,-0.999153021,5.09E-05,-5.10E-05,179
