sp,ecotype,treeid,tleaf,anet.21p,anet.0p,Rd,corranet,anet.delta,pr.CO2,pr,pr.percent,gsw.21p,gsw.0p,gsw.delta,gsw.percent,E.21p,E.0p,E.delta,E.percent,ETR.21p,ETR.0p,ETR.delta,ETR.percent,JT,JO1,JC1,JO2,JC2,JO1.percent,JC1.percent,JO2.percent,JC2.percent
#,,#,#,,,Calculated,anet.21p - Rd_calc,anet.0p - anet.21p (A),CO2 release correction (B),A+B,pr/anet.21p,C,D,D - C,D-C/C,E,F,F-E,F-E/E,G,H,H-G,H-G/G,,,,,,,,,
Betula pendula,NA,3,30,12.29752468,17.39314761,0.796954521,11.50057016,5.09562293,2.547811465,7.643434395,0.621542513,0.14117519,0.157133406,0.015958216,0.113038389,0.002426963,0.00268173,0.000254767,0.104973582,100.2440213,69.7060084,-30.5380129,-0.30463675,169.9500297,105.6311686,64.31886113,80.50662065,89.44340905,0.621542513,0.378457487,0.4737076,0.5262924
Betula pendula,NA,3a,25,15.19964411,16.11925782,0.958138234,14.24150588,0.91961371,0.459806855,1.379420565,0.090753478,0.230912795,0.225166914,-0.005745881,-0.024883337,0.002890727,0.002820919,-6.98E-05,-0.024148942,84.08462626,71.83886756,-12.2457587,-0.14563612,155.9234938,14.15059934,141.7728945,63.41661159,92.50688223,0.090753478,0.909246522,0.406716204,0.593283796
Betula pendula,NA,3b,35,12.09141349,17.0836679,0.785507105,11.30590638,4.99225441,2.496127205,7.488381615,0.619313997,0.199276025,0.153200461,-0.046075564,-0.231214789,0.005532129,0.00425919,-0.001272939,-0.230099298,109.986559,58.08311809,-51.90344091,-0.471907126,168.0696771,104.0879035,63.98177364,79.80268209,88.266995,0.619313997,0.380686003,0.474819036,0.525180964
Betula pendula,NA,3c,30,8.074479713,17.16281567,0.562406603,7.51207311,9.088335957,4.544167979,13.63250394,1.688344565,0.11740323,0.153446509,0.036043279,0.307004151,0.002066109,0.002639019,0.00057291,0.27728934,42.54282121,60.72059819,18.17777698,0.427281888,103.2634194,174.3442329,-71.08081347,47.3103337,55.9530857,1.688344565,-0.688344565,0.458151918,0.541848082
Betula pendula,NA,3c,35,11.97488078,18.76436592,0.779034879,11.1958459,6.78948514,3.39474257,10.18422771,0.850465896,0.182834679,0.18544481,0.002610131,0.014275908,0.005121222,0.005348542,0.00022732,0.044387843,79.9000513,75.94046466,-3.95958664,-0.049556747,155.840516,132.537044,23.30347195,71.96066189,83.87985407,0.850465896,0.149534104,0.461758365,0.538241635
Betula pendula,NA,4,25,21.53496978,21.4209041,1.310002222,20.22496756,-0.11406568,-0.05703284,-0.17109852,-0.007945148,0.242328464,0.198235474,-0.04409299,-0.181955472,0.003125192,0.002586148,-0.000539044,-0.172483483,191.1167359,97.36311652,-93.75361938,-0.490556826,288.4798524,-2.292015095,290.7718675,134.8933155,153.5865369,-0.007945148,1.007945148,0.467600473,0.532399527
Betula pendula,NA,4,30,16.27244868,24.7043991,1.0177218,15.25472688,8.43195042,4.21597521,12.64792563,0.777260133,0.208617872,0.661106997,0.452489125,2.168985431,0.003625881,0.008696744,0.005070863,1.39851887,153.6647036,99.10908949,-54.55561411,-0.355030224,252.7737931,196.4709921,56.30280098,125.1226656,127.6511275,0.777260133,0.222739867,0.494998568,0.505001432
Betula pendula,NA,4,35,17.13041824,23.73136879,1.065373429,16.06504481,6.60095055,3.300475275,9.901425825,0.578002573,0.151651179,0.137735183,-0.013915996,-0.09176319,0.003786372,0.003532429,-0.000253943,-0.067067631,202.8536743,108.3673698,-94.4863045,-0.465785522,311.2210441,179.8865644,131.3344797,161.7995808,149.4214633,0.578002573,0.421997427,0.519886376,0.480113624
Betula pendula,NA,4c,30,11.83990266,15.97358035,0.771538194,11.06836447,4.13367769,2.066838845,6.200516535,0.52369658,0.143607712,0.129988975,-0.013618737,-0.094832908,0.002478221,0.002272383,-0.000205838,-0.083058775,97.2305542,46.43281263,-50.79774157,-0.522446282,143.6633668,75.23601393,68.4273529,64.20250413,79.4608627,0.52369658,0.47630342,0.446895444,0.553104556
Betula pendula,NA,4c,35,15.46996421,24.91297209,0.973151812,14.4968124,9.44300788,4.72150394,14.16451182,0.915613742,0.202074767,0.204564725,0.002489958,0.012321964,0.005623142,0.005445138,-0.000178004,-0.031655612,131.4383922,99.55117459,-31.88721761,-0.242602006,230.9895668,211.4972216,19.49234516,112.7398066,118.2497602,0.915613742,0.084386258,0.488073155,0.511926845
